Player_id,Season,Competition,Games,PPG,Goals,Assists,Yellow_cards,Yellow_red_cards,Red_cards,Penalty_goals,Minutes_per_goal,Minutes_played,Club_id,League_type
583790,2022,Russian Cup,2,1.5,0,0,1,0,0,0,0,180,3609,pokalwettbewerb
583790,2021,FNL,15,1.13,1,1,6,1,0,0,1183,1183,67241,wettbewerb
583790,2021,Russian Cup,2,1.5,0,0,1,0,0,0,0,180,67241,pokalwettbewerb
583790,2020,U19 M-Liga,23,1.61,3,0,10,1,0,0,665,1995,16202,wettbewerb
583790,2020,Premier Liga,5,1.0,0,0,1,0,0,0,0,89,3725,wettbewerb
583790,2020,Russian Cup,1,3.0,0,0,0,0,0,0,0,44,3725,pokalwettbewerb
583790,2019,U19 M-Liga,20,1.45,2,0,4,1,0,1,887,1774,16202,wettbewerb
583790,2019,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,3725,wettbewerb
583790,2019,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,3725,pokalwettbewerb
583790,2018,U19 M-Liga,20,0.85,1,0,2,0,0,0,1418,1418,16202,wettbewerb
583790,2017,U19 M-Liga,9,1.33,0,0,1,0,0,0,0,722,16202,wettbewerb
605627,2022,2 League Group 3,3,0.33,0,0,0,0,0,0,0,224,19958,wettbewerb
605627,2022,Russian Cup,1,0.0,0,0,0,0,0,0,0,64,19958,pokalwettbewerb
605627,2021,FNL-2 Gruppe 4,6,2.17,0,0,3,0,1,0,0,417,12420,wettbewerb
605627,2019,FNL,2,3.0,0,1,0,0,0,0,0,113,1186,wettbewerb
605627,2018,Premier Liga,12,0.5,0,1,2,0,0,0,0,1080,2700,wettbewerb
605627,2018,U19 M-Liga,9,0.56,0,0,1,0,0,0,0,623,26567,wettbewerb
605627,2018,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,2700,pokalwettbewerb
605627,2017,U19 M-Liga,10,1.1,2,0,1,0,0,2,450,900,26567,wettbewerb
605627,2017,U19 M-Liga,18,1.06,2,0,4,0,0,0,810,1620,45655,wettbewerb
605627,2016,U19 M-Liga,5,0.2,0,0,1,0,0,0,0,210,45035,wettbewerb
425749,2022,2 League Group 4,16,1.63,4,2,1,0,1,0,338,1351,12420,wettbewerb
